number;group;name;suggested_cost_price;extra_cost;sales_price;unit_id;stock_quantity;description;min_inventory_quantity;min_sales_quantity;min_purchase_quantity;barcode;default_location_id;variation_id;weight;weight_unit;width;height;depth;size_unit;supplier_product_number;is_barred;discount_group;image_url;Har batchstyring;has_serial_numbers;default_supplier_id
SOL-01012100;25;Bureau Veritas Power Certificate; kr 12.393,81 ;; kr 25.502 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-12114071;25;Gasket Pump; kr 0,35 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-13812015.05;25;Remote Oil Filter Gasget; kr 0,35 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-243B0569;25;Nut; kr 0,35 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-60972100C.1;25;Panel fastening element; kr 0,35 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-H7808204103;25;Bolt; kr 0,35 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-5191B003;25;Bolt CL81Z 3.1X8; kr 0,35 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-17111061;25;Bolt; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-17111062;25;Bolt; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-17111063;25;Bolt; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51030005;25;Washer DIN 125-5; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51030007;25;Washer DIN 125-7; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51030008;25;Washer DIN 125-8; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51030010;25;Washer DIN 125-10; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51030012;25;Washer DIN 125-12; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51031006;25;Washer DIN 9021 6; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51035012;25;WASHER DIN 433 M12; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51051107;25;Pin DIN-94 1,6-16; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51123005;25;Nut DIN 985 M5 5.6; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51123006;25;Nut DIN 985 M6 5.6; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51123008;25;Nut DIN 985 M8 5.6; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51129008.1;25;NUT XS513 M8; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51901056;25;Screw DIN 7504N ST3.9-16 Zinc Plated; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-51918054;25;Bolt DIN 7981C 3,5-9,5; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52101159;25;Bolt DIN 931 M6-30 8.8; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52101270;25;Bolt DIN 931 M8-85 8.8; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52102159;25;Bolt DIN 933 M6-30 8.8; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52103053;25;Bolt DIN 912 M4-08 8.8; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52105158;25;BOLT DIN 7991 M6-08 INOX; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52105160;25;BOLT DIN 7991 M6-10 INOX; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52118007;25;Bolt DIN 7985 M3-20 8.8; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52120003;25;Nut DIN 934 M3 8.8; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52120005;25;Nut DIN 934 M5 8.8; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52120006;25;Nut DIN 934 M6 8.8; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52129008;25;Nut Din 439/B M8 5.6; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53033005;25;Washer GROWER DIN 127-5; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53033006;25;Washer GROWER DIN 127-6; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53033007;25;Washer GROWER DIN 127-7; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53038006;25;Washer DIN 6798-A 6; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53038008;25;Washer DIN 6798-A 8; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
