number,default_location_id
SBV-5108,120
t-shirt,140
04-277-3104,140
04-277-3106,140
04-770,120
05-233,120
0540A30012,120
080C01-0123HS,120
0827 200710,120
0827 210490,120
0827220813/0,120
0947A90112,120
0947A90113,120
09670019997-04221,140
098283/0,120
098561/0,120
098561/1/0,120
099173/0,120
110338282ATX,120
1104-2754,140
110435219ATX,120
1105-2700,140
1128-SN1734,140
119042209-RF-01456,140
12001- PA4262,140
12004-FK0351-0410,140
12005-FJ0482-0110,140
120238588BS01,120
122121283BS04,120
122121294BS20,120
122133698ATX,120
122134195BS30,120
122134202BS11,140
122134240AT01,120
122134240ATX,120
122136965BS10,120
122138311BS03,120
129037178ATX,140
12-GL2032,120
12-TL1625,120
1317-RF,140
1321165800-1,120
134-35-R-110-TN,120
1428-1300,140
17-560,120
178502PURS104035,120
2001010009-C,140
2001020018-C,140
2001020038-C,140
2001040005-C,140
2001040057-C,140
2001080058-C,140
2001080059-C,140
2001080063-C,140
2001100013-C,140
2001100016-C,140
2001110023-C,140
2001110036-C,140
2001110037-C,140
2001110038-C,140
2001110043-C,140
2001320000-C,140
2002008AUTO - 05242,120
20020MP12 - 06212,120
20020MP12M,120
2006012RF - 05236,120
2006016 - 05243,120
2029170004-C,140
20EVO012V3 - 05244,120
20EVO016 - 05235,120
20EVO212,140
21-01/05-DK,140
21-01/05-GE,140
21-01/05-NO,140
21-01/05-SV,140
21-05/10-DK,140
21-05/10-GE,140
21-05/10-NO,140
21-05/10-SV,140
21-10/15-DK,140
21-10/15-GE,140
21-10/15-NO,140
21-10/15-SV,140
21-15/20-DK,140
21-15/20-GE,140
21-15/20-NO,140
21-15/20-SV,140
21-20/25-DK,140
21-20/25-GE,140
21-20/25-NO,140
21-20/25-SV,140
21-25/30-DK,140
21-25/30-GE,140
21-25/30-NO,140
21-25/30-SV,140
215134551-0921,120
21-Tillæg-Full load,140
21-Tillæg-palle,140
21-TNT,140
21-Told,140
21-Told-Palle,140
22-99-00600,140
2332C,140
2332C-R-AG0047-0110,140
239 239 - 06211,140
239 J - 05223,120
239 J OM1600  - 05222,120
251131511-0922,120
255040194-0923,120
255530868-Various,120
257041016-01241,140
2573S,140
270OF302-15B,120
277633546-0825,120
3001020030-C,140
30072 - 06212,120
30073 - 06212,120
301-1,140
309A,140
309B,140
309-B,140
313FR38MD/412LDE,120
316A,120
317A,140
317B,120
317C,120
317-D,140
36000-17201,140
36000-WHT-17201,140
394-3326,140
3-947-105 - 06215,120
4002-7313-MC2498,140
40140-GRY-14203,140
40140-GRY-25-14203,140
40200-BLK,140
4027010000BAS-C,140
4027010001PRO-C,140
4027010002MAX-C,140
4060120000-C,140
4060120001-C,140
4060120003-C,140
4060120004-C,140
4060120005-C,140
4060120006-C,140
4060120015-C,140
4060120016-C,140
4069BS03,140
4069-RF,140
4160-RF-TH7371,140
4167BS03,140
4167BS03-RF-BJ2020,140
4174-AGO111-024,140
4402BS01-AD0162-0420,140
4402BS01-AI00970420,140
4402BS01-HF1217-0420,140
4406-RF-XG5312,140
4411-ZC0061,140
4413BS02-AD0166-0420,140
4413BS02-FJ0986-0420,120
4413BS02-HF1218-0420,140
4501BS01,120
4712-RF-YJ6910,140
4712-SN0040-0410,140
4713BS10,140
4713BS10-HJ0418-0410,140
4715077-ACC0530280,140
4715077-ACC0531152,140
4715088-ACC0500250,140
4715088-ACC0500251,140
4804C,140
4831-RF,140
4880BS03,120
4O69N,140
4O89V,140
4O8RU,140
4O8SW,140
4o8TY,140
4O8U1,140
4O8V3,140
50.2.150.3000-S,140
5001020029-C,140
5001020030-C,140
5001020035-C,140
5001020036-C,140
5001040001-C,140
5001100002-C,140
50250M,140
50MC209,140
510-2123,140
53-1,120
61016-WHT-01,140
61016-WHT-14104,140
61016-WHT-25,140
6310FD22,140
6310FD22-SA,140
6310FDUPG19-22,140
6310FDUPG21-22,140
6310FS22,140
6310FS22-SA,140
6310FSSE22,140
6310FSSEUPG19-22,140
6310FSSEUPG21-22,140
6310FSUPG19-22,140
6310FSUPG21-22,140
6738Keramisk,140
7000-44,500
7077-01147,140
71002-1616,140
71005-1616,140
71008-001,140
71009-001,140
71010-001,140
71011-001,140
71012-001,140
71013-065,140
71014-001,140
71015-090,140
71020-001,140
71020-1616,140
71021-001,140
71022-001,140
71022-1616,140
71023-001,140
71029-001,140
71030-001,140
7110-200,140
7110-92021-01125,140
7110-92033-01127,140
7110-92035-01153,140
7110-92054-01131,140
7110-92105-01145,140
7110-92107-0000,140
7110-92118-01124,140
71508-1208,140
71508-1216,140
71509-1608,140
71509-1616,140
71510-1208,140
71510-1216,140
71511-1608,140
71511-1616,140
71512-1608,140
71512-1616,140
71513-1208,140
71513-1216,140
71514-1608,140
71514-1616,140
71515-1208,140
71515-1216,140
71520-1208,140
71520-1216,140
71521-1608,140
71521-1616,140
71522-1208,140
71522-1216,140
71523-1608,140
71523-1616,140
71524-1208,140
71524-1216,140
71528-1208,140
71528-1216,140
71599-13401,140
72002-001,140
72502-1208,140
72502-1216,140
72503-1608,140
72503-1616,140
72504-001,140
72505-1208,140
72505-1216,140
72506-1608,140
72506-1616,140
72507-001,140
72517-1208,140
72517-1216,140
72518-1608,140
72518-1616,140
7459-01146,140
750WHITE-01128,140
8000-1,140
81001-025-12101,140
