VareNr;Afdeling
1;10
1415K-18;1
2;10
AG-BC20;1
AG-BR20;1
AG-CM20;1
AG-CREM;7
AG-CV20;1
AG-E20;1
AG-R20;1
AG-RICH05;10
AG-VR20;1
ANGGIN;10
AP-PQB18;1
AP-PQT18;1
AP-SB16;1
AP-SB17;1
AP-SB18;1
AP-ST16;1
ARG-BR17;1
ARG-BRR10;1
ARG-BRR12;1
ARG-BRR15;1
ARG-BRR16;1
ARG-BRR16dm;5
ARG-BRR16m;4
ARG-NC20;1
ARG-RO20;1
ARG-SOL19;1
AV-SB19;1
AV-SB20;1
AV-SB21;1
AV-SB22;1
AV-SF17;1
AV-SR-18;1
AV-SR19;1
AV-SR20;1
AV-SR21;1
BAR-SHER;10
BAYGIN;10
BDX-ANG10;1
BDX-BRAN10;1
BDX-CANO16;1
BDX-CAS05;1
BDX-CAS09;1
BDX-CASn09;1
BDX-DAME20;1
BDX-DV09;1
BDX-DVm09;4
BDX-FIG14;1
BDX-HABR00;10
BDX-HABR18;1
BDX-LAF98;10
BDX-LAFIT10;1
BDX-LALA02;1
BDX-LAR09;1
BDX-LAR10;1
BDX-LATO03;10
BDX-LATO10;1
BDX-LYNC05;1
BDX-LYNC09;1
BDX-LYNC10;1
BDX-LYNCn10;1
BDX-MISS10;10
BDX-MORO15;1
BDX-MORO19;1
BDX-OPUS19;1
BDX-PALM12;1
BDX-PALM17;1
BDX-PAV10;1
BDX-PAV18;1
BDX-PONT03;1
BDX-ROSE10;1
BDX-ROSE10m;4
BDX-ROSE14;1
BDX-SOLA19;1
BDX-SUDU07;1
BDX-TRON17;1
BDX-TRONb18;1
BDX-TROP10;1
BDX-YQU07;1
BDX-YQUE16;11
BDX-YQUE98;11
BEL-COD19;1
BEL-TEN10m;4
BEL-TEN13m;4
BEL-TEN15m;4
BEL-TEN16;10
BEL-TEN16-3;5
BEL-TEN16m;4
BEL-TEN17;1
BEL-TEN19;1
BEL-TIR17-3;5
BEL-TIR17m;4
BEL-TIR18;1
BEL-VER20;1
BOG-ITA21;10
BOIG-BOUD21;1
BOIG-BOUD21m;1
BOIG-DAMO21;1
BOIG-DAMO21m;1
BOIG-JACH21;1
BOIG-JACH21m;1
BOIG-PN21;1
BOIG-PN21m;1
BOIG-SUCH21;1
BOIG-SUCH21m;1
BOLL-LGA14;10
BOLL-RD07;10
BOLL-RD08;10
BOLL-RD08g;10
BOLL-ROSm;10
BOLL-SC;10
BOLL-SPCU;10
BOLL-SPCU3;10
BOLL-SPCUm;10
BOURG;10
BRAUN-ØL;10
BT-B10;1
BT-B15;1
BT-B16;1
BT-B17;1
BT-B17m;4
BT-B18;1
BT-B18m;4
BT-BR15;1
BT-IGT19;1
BT-IGT20;1
BT-IGT21;1
BT-OLI16;1
BT-OLI18;1
BT-OLI18m;1
BT-P56;1
BT-R19;1
BT-R20;1
BT-R21;1
BUR-GCF18;1
BUR-GCF20;1
BUR-GCS18;1
BUR-MEUR19;1
BUR-VRP20;1
BUT-P16;1
CA-5050;1
CA-5050-12;1
CA-5050-15;1
CA-5050-16;1
CA-C16;1
CA-G13;1
CA-GS15;1
CA-GS16;1
CA-R15;1
CA-S07;1
CA-S09;1
CA-S10;1
CA-S13;1
CA-SO15;1
CAL15;10
CARI-COMB20;1
CARI-FOLA20;1
CARI-GAIN20;1
CARI-MACH20;1
CARI-PER20;1
CARI-PM20;1
CARI-PN20;1
CD-GP15;1
CD-GP16;1
CD-GP18-12;1
CD-GP18-6;1
CDB-BLA16;1
CDB-BLA17;1
CDB-MBS18;1
CDB-MBS19;1
CDB-MBS20;1
CDB-MR18;1
CDB-MR19;1
CDB-MR20;1
CDB-PMH18;1
CDB-PMH19;1
CDB-PMH20;1
CE-BLANC18;1
