number;Price (EUR);dkk
1006446;7000;52220
555.10.76.01;1793;13375,78
1014662;447;3334,62
402.05.23;2504;18679,84
401.07.71;3196;23842,16
560.14.60;5634;42029,64
401.07.76;5378;40119,88
560.19.09;6800;50728
560.14.12;5994;44715,24
401.07.84;1774;13234,04
401.07.92;1158;8638,68
400.07.72;4401;32831,46
401.07.55;1973;14718,58
401.07.80;2476;18470,96
400.07.50;1755;13092,3
401.05.98;1736;12950,56
401.06.60;3320;24767,2
401.05.63;1546;11533,16
401.05.88;1707;12734,22
401.05.80;1793;13375,78
401.07.20;2978;22215,88
401.05.95;2210;16486,6
401.05.90;4923;36725,58
403.05.00;7046;52563,16
526.00.26;7057;52645,22
502.02.50;617;4602,82
511.00.63;541;4035,86
410.07.59;1508;11249,68
30.04.222;152;1133,92
1011996;138;1029,48
560.14.25;275;2051,5
500.00.51;143;1066,78
502.02.91;12;89,52
513.00.06;171;1275,66
500.00.38;62;462,52
502.00.61;295;2200,7
530.21.00;503;3752,38
400.40.13;532;3968,72
556.50.84;256;1909,76
556.51.98;134;999,64
403.40.11;143;1066,78
440.20.47;128;954,88
512.23.60;351;2618,46
512.23.13;86;641,56
500.01.16;475;3543,5
500.00.64;238;1775,48
415.01.21;124;925,04
560.23.25;1148;8564,08
417.01.17;285;2126,1
415.12.38;228;1700,88
426.04.09;162;1208,52
560.23.05;598;4461,08
505.05.99;200;1492
401.05.13;219;1633,74
511.00.16;76;566,96
505.06.72;456;3401,76
500.25.12;46;343,16
500.15.12;58;432,68
500.40.12;62;462,52
415.01.37;41;305,86
400.15.06;19;141,74
512.23.31;475;3543,5
512.23.32;532;3968,72
512.23.30;380;2834,8
512.23.35;1679;12525,34
556.52.76;788;5878,48
556.52.73;2789;20805,94
556.60.24;806;6012,76
556.51.70;608;4535,68
556.51.74;636;4744,56
556.51.71;608;4535,68
556.51.58;673;5020,58
556.51.73;608;4535,68
556.51.99;608;4535,68
556.51.53;636;4744,56
911.00.92;854;6370,84
911.00.91;864;6445,44
556.52.61;465;3468,9
556.52.65;395;2946,7
556.51.00;4458;33256,68
1004476;67;499,82
530.10.96;134;999,64
530.10.23;190;1417,4
530.10.97;134;999,64
530.10.33;190;1417,4
530.10.18;190;1417,4
506.20.90;4240;31630,4
512.02.51;1243;9272,78
512.02.50;1508;11249,68
430.10.09;1281;9556,26
430.10.17;740;5520,4
430.10.27;636;4744,56
430.14.08;1955;14584,3
430.06.25;1053;7855,38
430.10.10;1642;12249,32
430.10.00;1546;11533,16
430.14.00;2362;17620,52
526.00.37;5368;40045,28
28.03.008;4;29,84
30.10.250;579;4319,34
560.14.26;2694;20097,24
505.13.50;1072;7997,12
401.20.05;124;925,04
1007668;134;999,64
435.02.04;52;387,92
503.05.38;29;216,34
512.21.03;1935;14435,1
512.21.05;551;4110,46
505.04.88;1233;9198,18
512.21.02;986;7355,56
512.00.66;190;1417,4
440.22.97;332;2476,72
555.00.16;636;4744,56
575.13.02;997;7437,62
500.25.13;34;253,64
500.30.13;24;179,04
500.40.13;26;193,96
502.09.33;219;1633,74
501.45.10;35;261,1
501.17.10;31;231,26
501.30.10;32;238,72
501.12.10;143;1066,78
501.38.10;35;261,1
501.14.10;28;208,88
501.11.10;35;261,1
512.02.95;162;1208,52
506.27.04;91;678,86
505.06.77;152;1133,92
501.55.10;76;566,96
501.16.11;32;238,72
416.03.52;200;1492
502.09.32;114;850,44
501.17.09;45;335,7
505.20.16;76;566,96
501.28.11;41;305,86
403.02.54;52;387,92
416.02.20;76;566,96
501.23.11;32;238,72
501.38.11;35;261,1
560.14.33;26;193,96
501.35.11;43;320,78
502.55.11;52;387,92
505.12.17;18;134,28
501.55.11;41;305,86
502.02.13;16;119,36
506.20.09;41;305,86
501.63.09;41;305,86
501.45.09;35;261,1
500.15.22;33;246,18
501.55.09;41;305,86
401.04.99;104;775,84
500.40.22;35;261,1
500.20.22;33;246,18
502.05.25;46;343,16
502.05.55;12;89,52
400.02.23;5;37,3
512.02.94;162;1208,52
506.27.10;162;1208,52
401.06.37;86;641,56
403.02.92;95;708,7
400.03.26;38;283,48
401.03.14;21;156,66
401.08.25;114;850,44
575.12.04;977;7288,42
575.12.24;4;29,84
416.04.04;456;3401,76
506.21.10;332;2476,72
505.05.43;219;1633,74
270.13.01;1253;9347,38
30.07.240;67;499,82
30.07.239;35;261,1
30.07.238;43;320,78
27.01.017;76;566,96
540.03.02;82;611,72
506.35.07;76;566,96
575.13.01;238;1775,48
511.00.01;195;1454,7
505.301.2;114;850,44
505.80.11;361;2693,06
540.02.13;399;2976,54
505.400.2;180;1342,8
505.320.2;152;1133,92
505.375.2;162;1208,52
505.306.2;152;1133,92
506.35.08;1470;10966,2
560.14.32;29;216,34
560.14.86;275;2051,5
60.50.085;6611;49318,06
555.10.72.00;1727;12883,42
512.50.85;67;499,82
506.30.35;256;1909,76
560.15.91;238;1775,48
560.10.07;551;4110,46
560.14.97;58;432,68
560.15.36;617;4602,82
560.14.43;91;678,86
512.22.29;576;4296,96
547.00.34;134;999,64
560.14.81;228;1700,88
560.14.09;67;499,82
560.30.25;275;2051,5
560.15.27;71;529,66
560.10.26;636;4744,56
502.00.11;342;2551,32
90.20.017;645;4811,7
560.34.21;124;925,04
560.14.37;24;179,04
502.02.89;28;208,88
505.10.03;23;171,58
401.05.45;43;320,78
560.01.21;285;2126,1
505.04.20;91;678,86
560.10.15;42;313,32
505.05.44;38;283,48
440.21.17;36;268,56
401.50.23;6;44,76
401.03.10;25;186,5
505.03.91;48;358,08
400.25.13;18;134,28
512.50.35;82;611,72
400.50.13;23;171,58
502.02.07;18;134,28
560.10.14;48;358,08
400.05.69;20;149,2
401.04.11;6;44,76
400.03.12;13;96,98
400.50.33;38;283,48
401.02.56;15;111,9
556.25.04;22;164,12
401.50.16;9;67,14
401.50.17;20;149,2
401.50.09;52;387,92
506.33.82;1385;10332,1
421.00.79;247;1842,62
512.24.41;1499;11182,54
512.02.12;1385;10332,1
505.80.12;238;1775,48
506.35.30;162;1208,52
512.02.15;285;2126,1
440.22.98;503;3752,38
506.35.20;4315;32189,9
505.05.77;26;193,96
430.11.24;27;201,42
575.12.29;15;111,9
560.11.15;256;1909,76
512.22.26;523;3901,58
575.11.20;6;44,76
430.08.07;52;387,92
418.10.34;41;305,86
430.20.07;95;708,7
430.10.45;12;89,52
506.20.16;42;313,32
555.03.25;41;305,86
417.01.09;200;1492
556.06.08;27;201,42
28.11.206;475;3543,5
29.01.230;67;499,82
29.01.065;41;305,86
911.06.39;190;1417,4
505.13.63;816;6087,36
415.12.09;389;2901,94
415.12.10;389;2901,94
30.03.004;104;775,84
22000445;371;2767,66
402.25.77;361;2693,06
502.06.62;275;2051,5
401.02.23;1566;11682,36
440.20.44;114;850,44
437.00.24;275;2051,5
560.14.61;285;2126,1
401.41.13;82;611,72
417.01.37;62;462,52
401.01.03;200;1492
556.26.27;673;5020,58
556.26.26;749;5587,54
556.29.27;2685;20030,1
556.25.06;835;6229,1
556.02.02;210;1566,6
556.02.54;617;4602,82
556.02.05;821;6124,66
440.20.04;67;499,82
440.21.13;114;850,44
440.22.12;266;1984,36
402.25.46;227;1693,42
403.25.15;977;7288,42
505.10.89;6336;47266,56
1023482;882;6579,72
402.25.13;456;3401,76
575.10.07;152;1133,92
506.33.16;806;6012,76
440.20.22;38;283,48
430.10.38;11;82,06
560.32.19;389;2901,94
501.45.02;104;775,84
501.23.02;91;678,86
505.12.02;95;708,7
505.20.02;275;2051,5
501.30.02;104;775,84
501.17.02;91;678,86
506.20.63;285;2126,1
505.03.17;247;1842,62
1021055;238;1775,48
512.02.02;2248;16770,08
401.10.35;41;305,86
400.25.32;42;313,32
505.12.20;5264;39269,44
60.10.202;361;2693,06
60.10.305;399;2976,54
60.10.306;778;5803,88
60.34.501;228;1700,88
60.34.601;266;1984,36
60.34.503;219;1633,74
60.34.302;546;4073,16
